OBJECTID;SOURCE;X_Este;Y_Norte;MINERAL_PPAL;FORMA_OCURRENCIA;ID_NOM_DEP;IG_MUN;IG_DEP
1;SGC;841888.193;1139745.879;Calizas;Estratiforme;Cementos El Cairo S.A.;Abejorral;Antioquia
2;SGC;851442.791;1132864.149;Arcilla_Caolinita;Estratiforme;El Gallinazo;Abejorral;Antioquia
3;SGC;851622.602;1133947.763;Oro-Au;Veta;El Popal;Abejorral;Antioquia
4;SGC;859862.897;1138087.896;Oro-Au;Veta;El Rebusque;Abejorral;Antioquia
5;SGC;845435.507;1136274.605;Arcilla_Caolinita;Estratiforme;EUROCERAMICA S.A.;Abejorral;Antioquia
6;SGC;849810.111;1126452.254;Oro-Au;Veta;Finca El Aguacate;Abejorral;Antioquia
7;SGC;841556.428;1139967.963;Oro-Au;Veta;Mina Argus;Abejorral;Antioquia
8;SGC;848905.19;1123301.815;Oro-Au;Veta;Mina Purimac;Abejorral;Antioquia
9;SGC;845146.985;1136076.204;Oro-Au;Veta;Pedernales;Abejorral;Antioquia
10;SGC;857070.342;1132751.57;Oro-Au;Veta;Quebradona;Abejorral;Antioquia
11;SGC;865881.275;1139722.783;Arcilla_Caolinita;Estratiforme;SUMICOL;Abejorral;Antioquia
12;SGC;772994.919;1222111.952;Oro-Au;Veta;Abriaquí_1;Abriaquí;Antioquia
13;SGC;775247.306;1228996.788;Oro-Au;Veta;Carauta;Abriaquí;Antioquia
14;SGC;772911.495;1226029.674;Oro-Au;Veta;ECOCERRO;Abriaquí;Antioquia
15;SGC;770042.393;1230523.448;Oro-Au;Veta;El Carrancho;Abriaquí;Antioquia
16;SGC;782513.922;1231158.357;Oro-Au;Veta;El Volado;Abriaquí;Antioquia
17;SGC;781168.966;1232347.756;Oro-Au;Veta;La Aguja Dura;Abriaquí;Antioquia
18;SGC;776904.742;1228458.839;Oro-Au;Veta;La Engañosa;Abriaquí;Antioquia
19;SGC;782511.186;1230472.308;Oro-Au;Veta;La Magdalena;Abriaquí;Antioquia
20;SGC;781203.268;1232624.257;Oro-Au;Veta;Mina Beto;Abriaquí;Antioquia
21;SGC;780903.238;1235037.763;Oro-Au;Veta;Mina El Porvenir;Abriaquí;Antioquia
22;SGC;773069.325;1218670.116;Oro-Au;Veta;Mina Las Camelias;Abriaquí;Antioquia
23;SGC;781902.675;1233230.052;Oro-Au;Veta;Morro Gacho;Abriaquí;Antioquia
24;SGC;780367.592;1236622.316;Oro-Au;Veta;Pizarro_El Paraiso;Abriaquí;Antioquia
25;SGC;780981.875;1232591.952;Oro-Au;Veta;San Antonio_1;Abriaquí;Antioquia
26;SGC;780478.251;1233899.724;Oro-Au;Veta;Santa Teresa_1;Abriaquí;Antioquia
27;SGC;894701.832;1196406.396;Oro-Au;Veta;El Desquite;Alejandría;Antioquia
28;SGC;892801.791;1198102.16;Oro-Au;Veta;El Girón;Alejandría;Antioquia
29;SGC;891003.363;1194997.576;Oro-Au;Veta;Guadualito;Alejandría;Antioquia
30;SGC;889748.151;1198251.755;Oro-Au;Veta;La Emeralda;Alejandría;Antioquia
31;SGC;885745.681;1194244.619;Oro-Au;Veta;La Esmeralda;Alejandría;Antioquia
32;SGC;883847.437;1196759.195;Oro-Au;Veta;La Fortuna;Alejandría;Antioquia
33;SGC;888496.543;1191905.449;Oro-Au;Veta;Los Ladrillos;Alejandría;Antioquia
